# schema: laser-person-tracks/1
# table: frames
# bag: /home/nilum/laser-detection-annotator/moving_robot/moving_robot_0.mcap
# scan_topic: /scan
# annotation_frame: laser
# odom_frame: odom
# base_frame: base_link
# match_criterion: euclidean_xy
# match_threshold_m: 0.5
# generated: 2026-09-13T14:29:36
frame,scan_index,t_ns,robot_x,robot_y,robot_yaw,n_people,n_ignored
1,0,1789282053307660539,-0.235,0.075,-0.314923,0,0
2,5,1789282053772558309,-0.235,0.075,-0.314923,0,0
3,10,1789282054281835749,-0.235,0.075,-0.314923,0,0
4,15,1789282054792066250,-0.235,0.075,-0.314923,0,0
5,20,1789282055294904574,-0.235,0.075,-0.314923,0,0
6,25,1789282055792428957,-0.235,0.075,-0.314923,0,0
7,30,1789282056290507797,-0.235,0.075,-0.314923,0,0
8,35,1789282056790036653,-0.235,0.075,-0.314923,0,0
9,40,1789282057292505505,-0.235,0.075,-0.314923,0,0
10,45,1789282057795031211,-0.235,0.075,-0.314923,0,0
11,50,1789282058292648429,-0.235,0.075,-0.314923,0,0
12,55,1789282058790169033,-0.235,0.075,-0.314923,0,0
13,60,1789282059290835435,-0.235,0.075,-0.314923,0,0
14,65,1789282059790715040,-0.235,0.075,-0.314923,0,0
15,70,1789282060288864382,-0.235,0.075,-0.314923,0,0
16,75,1789282060791542110,-0.235,0.075,-0.314923,0,0
17,80,1789282061291474901,-0.235,0.075,-0.314923,0,0
18,85,1789282061791538196,-0.235,0.075,-0.314923,0,0
19,90,1789282062291625251,-0.235,0.075,-0.314923,0,0
20,95,1789282062789270081,-0.235,0.075,-0.314923,0,0
21,100,1789282063286552605,-0.235,0.075,-0.314923,0,0
22,105,1789282063786996095,-0.235,0.075,-0.314923,0,0
23,110,1789282064284597738,-0.235,0.075,-0.314923,0,0
24,115,1789282064785171675,-0.235,0.075,-0.314923,0,0
25,120,1789282065285141949,-0.235,0.075,-0.314923,0,0
26,125,1789282065785010535,-0.235,0.075,-0.314923,0,0
27,130,1789282066285128517,-0.235,0.075,-0.314923,0,0
28,135,1789282066785701490,-0.235,0.075,-0.314923,0,0
29,140,1789282067288211177,-0.235,0.075,-0.314923,0,0
30,145,1789282067785963102,-0.235,0.075,-0.314923,0,0
31,150,1789282068280630416,-0.235,0.075,-0.314923,0,0
32,155,1789282068781611696,-0.235,0.075,-0.314923,0,0
33,160,1789282069281297982,-0.235,0.075,-0.314923,0,0
34,165,1789282069783945190,-0.2349,0.0749,-0.314923,0,0
35,170,1789282070286402431,-0.2039,0.0649,-0.312986,0,0
36,175,1789282070781869783,-0.1709,0.0542,-0.310794,0,0
37,180,1789282071282075636,-0.1351,0.0427,-0.311147,0,0
38,185,1789282071782484995,-0.0977,0.0307,-0.310179,0,0
39,190,1789282072284446076,-0.0603,0.0187,-0.311463,0,0
40,195,1789282072780829320,-0.0245,0.0072,-0.312676,0,0
41,200,1789282073278142772,0.0137,-0.0052,-0.315309,0,0
42,205,1789282073777908059,0.0526,-0.0179,-0.314897,0,0
43,210,1789282074275628669,0.0924,-0.0308,-0.313731,0,0
44,215,1789282074775714816,0.1331,-0.044,-0.314595,0,0
45,220,1789282075276013339,0.1741,-0.0573,-0.313038,0,0
46,225,1789282075775511842,0.2158,-0.0708,-0.312088,0,0
47,230,1789282076278275442,0.2585,-0.0845,-0.310493,1,0
48,235,1789282076782565968,0.3019,-0.0984,-0.309807,2,0
49,240,1789282077278826468,0.3444,-0.112,-0.309361,2,0
50,245,1789282077776109900,0.3876,-0.1258,-0.308208,2,0
51,250,1789282078274261242,0.4317,-0.1399,-0.308248,2,0
52,255,1789282078775572937,0.4759,-0.1539,-0.305704,1,0
53,260,1789282079276514327,0.5207,-0.1681,-0.307163,0,0
54,265,1789282079778162752,0.5657,-0.1824,-0.306383,0,0
55,270,1789282080276587193,0.6102,-0.1964,-0.306739,0,0
56,275,1789282080774398652,0.6554,-0.2107,-0.305282,0,0
57,280,1789282081272423304,0.7006,-0.225,-0.304611,0,0
58,285,1789282081775089053,0.7466,-0.2394,-0.305186,0,0
59,290,1789282082274841592,0.7931,-0.254,-0.30454,0,0
60,295,1789282082773607374,0.8399,-0.2687,-0.304851,0,0
61,300,1789282083275098318,0.8862,-0.2833,-0.305282,0,0
62,305,1789282083773712733,0.9322,-0.2977,-0.301203,0,0
63,310,1789282084268112263,0.9779,-0.3119,-0.300698,0,0
64,315,1789282084768498028,1.0252,-0.3266,-0.302209,0,0
65,320,1789282085268499449,1.072,-0.3412,-0.302686,0,0
66,325,1789282085766227071,1.1187,-0.3558,-0.302827,0,0
67,330,1789282086266081236,1.1656,-0.3704,-0.303503,0,0
68,335,1789282086764098388,1.2125,-0.3851,-0.30199,0,0
69,340,1789282087267375550,1.2599,-0.3998,-0.299071,0,0
70,345,1789282087764420427,1.3069,-0.4143,-0.297865,0,0
71,350,1789282088263889564,1.354,-0.4288,-0.299517,1,0
72,355,1789282088764270940,1.4009,-0.4433,-0.299514,1,0
73,360,1789282089265293338,1.4484,-0.4579,-0.298456,1,0
74,365,1789282089773445834,1.4969,-0.4728,-0.298139,0,0
75,370,1789282090270014815,1.5447,-0.4875,-0.297124,1,0
76,375,1789282090763959763,1.5915,-0.5018,-0.298402,1,0
77,380,1789282091259669504,1.6388,-0.5164,-0.297809,1,0
78,385,1789282091759864550,1.6861,-0.5309,-0.297795,1,0
79,390,1789282092260781692,1.7343,-0.5457,-0.296211,1,0
80,395,1789282092762472797,1.7826,-0.5604,-0.29694,0,0
81,400,1789282093263013003,1.8307,-0.5752,-0.299719,0,0
82,405,1789282093764022012,1.8782,-0.5899,-0.298852,0,0
83,410,1789282094260378313,1.9257,-0.6045,-0.297075,0,0
84,415,1789282094758313707,1.9732,-0.619,-0.29662,0,0
85,420,1789282095258345942,2.0212,-0.6337,-0.298547,0,0
86,425,1789282095756323428,2.0683,-0.6481,-0.296124,0,0
87,430,1789282096255787455,2.1161,-0.6627,-0.296753,0,0
88,435,1789282096756921147,2.1646,-0.6776,-0.299219,0,0
89,440,1789282097258735305,2.2133,-0.6927,-0.3024,0,0
90,445,1789282097759264622,2.2629,-0.7082,-0.303428,0,0
91,450,1789282098256603066,2.311,-0.7232,-0.300954,0,0
92,455,1789282098754588719,2.3588,-0.7379,-0.299996,0,0
93,460,1789282099256914921,2.4074,-0.753,-0.302936,0,0
94,465,1789282099757299148,2.4555,-0.7682,-0.305037,0,0
95,470,1789282100257280089,2.5034,-0.7832,-0.303559,0,0
96,475,1789282100754930452,2.551,-0.7981,-0.30204,0,0
97,480,1789282101252399376,2.5981,-0.8127,-0.298607,1,0
98,485,1789282101756095732,2.6463,-0.8275,-0.299982,1,0
99,490,1789282102257649544,2.6944,-0.8424,-0.298875,1,0
100,495,1789282102755883228,2.7417,-0.8569,-0.296382,2,0
101,500,1789282103255497306,2.789,-0.8713,-0.296011,1,0
102,505,1789282103755786258,2.8373,-0.8861,-0.296644,1,0
103,510,1789282104253354994,2.8861,-0.9011,-0.300656,1,0
104,515,1789282104751382220,2.9337,-0.9158,-0.30109,0,0
105,520,1789282105251154998,2.9826,-0.931,-0.299719,0,0
106,525,1789282105748867120,3.0303,-0.9458,-0.300123,0,0
107,530,1789282106248940113,3.0786,-0.9607,-0.297904,0,0
108,535,1789282106752143610,3.1272,-0.9756,-0.296753,0,0
109,540,1789282107251271644,3.1752,-0.9902,-0.296688,0,0
110,545,1789282107752571536,3.2236,-1.0051,-0.298095,0,0
111,550,1789282108249446751,3.2706,-1.0195,-0.298522,0,0
112,555,1789282108745115326,3.3183,-1.0341,-0.296044,0,0
113,560,1789282109248042440,3.3651,-1.0484,-0.295302,1,0
114,565,1789282109747910254,3.412,-1.0627,-0.29453,2,0
115,570,1789282110247492296,3.4629,-1.078,-0.30427,2,0
116,575,1789282110748504028,3.501,-1.0897,-0.296011,2,0
117,580,1789282111242785542,3.5495,-1.1044,-0.294528,1,0
118,585,1789282111741196258,3.5989,-1.1194,-0.294899,1,0
