# schema: laser-person-tracks/1
# table: tracks
# bag: /home/nilum/laser-detection-annotator/moving_robot/moving_robot_0.mcap
# scan_topic: /scan
# annotation_frame: laser
# odom_frame: odom
# base_frame: base_link
# match_criterion: euclidean_xy
# match_threshold_m: 0.5
# generated: 2026-09-14T19:25:52
frame,scan_index,t_ns,track_id,x,y,world_x,world_y,consider
220,219,1789282075078797869,1,-2.831,-0.6939,-2.654,0.1299,1
221,220,1789282075178237429,1,-2.7321,-0.6939,-2.5516,0.0977,1
222,221,1789282075276767597,1,-2.6661,-0.7516,-2.4986,0.0178,1
223,222,1789282075379248563,1,-2.6496,-0.6774,-2.4517,0.0787,1
224,223,1789282075477695007,1,-2.6661,-0.8093,-2.4996,-0.0444,1
225,224,1789282075578516230,1,-2.6414,-0.7021,-2.4349,0.0463,1
226,225,1789282075678993259,1,-2.5177,-0.7846,-2.3341,-0.0738,1
227,226,1789282075775891259,1,-2.4435,-0.8011,-2.2604,-0.1138,1
228,227,1789282075877216030,1,-2.427,-0.7021,-2.2058,-0.0285,1
229,228,1789282075976943671,1,-2.2704,-0.7763,-2.0709,-0.1507,1
230,229,1789282076078906403,1,-2.2951,-0.7516,-2.0783,-0.1233,1
231,230,1789282076177999621,1,-2.1962,-0.7846,-1.9858,-0.1885,1
232,231,1789282076278615636,1,-2.089,-0.7681,-1.87,-0.2083,1
233,232,1789282076379447192,1,-2.0313,-0.7269,-1.7938,-0.1902,1
234,233,1789282076481191048,1,-1.9076,-0.7846,-1.6847,-0.2863,1
235,234,1789282076582275258,1,-1.7674,-0.8341,-1.5575,-0.3796,1
235,234,1789282076582275258,2,-0.5967,0.6088,-0.0029,0.6382,1
236,235,1789282076680657404,1,-1.7097,-0.7104,-1.4566,-0.2803,1
236,235,1789282076680657404,2,-0.6379,0.5099,-0.0632,0.5542,1
237,236,1789282076783311652,1,-1.6767,-0.6939,-1.4112,-0.2786,1
237,236,1789282076783311652,2,-0.7038,0.5016,-0.1201,0.5633,1
238,237,1789282076881577721,1,-1.6355,-0.7269,-1.3734,-0.3265,1
238,237,1789282076881577721,2,-0.7698,0.4357,-0.195,0.5176,1
239,238,1789282076980227411,1,-1.6685,-0.7763,-1.4116,-0.3651,1
239,238,1789282076980227411,2,-0.8935,0.4521,-0.2991,0.5686,1
240,239,1789282077081063337,1,-1.652,-0.7104,-1.3672,-0.3102,1
240,239,1789282077081063337,2,-1.0584,0.4274,-0.455,0.5925,1
241,240,1789282077181790669,1,-1.586,-0.7104,-1.2957,-0.333,1
241,240,1789282077181790669,2,-1.1655,0.4934,-0.5283,0.6853,1
242,241,1789282077278916933,1,-1.4953,-0.7104,-1.2009,-0.3639,1
242,241,1789282077278916933,2,-1.2562,0.4357,-0.6242,0.655,1
243,242,1789282077380303484,1,-1.4211,-0.7021,-1.1189,-0.382,1
243,242,1789282077380303484,2,-1.3964,0.4439,-0.7469,0.7023,1
244,243,1789282077477872629,1,-1.3799,-0.6856,-1.0662,-0.3814,1
244,243,1789282077477872629,2,-1.5036,0.3862,-0.8582,0.6772,1
245,244,1789282077580132442,1,-1.314,-0.6692,-0.9897,-0.3891,1
245,244,1789282077580132442,2,-1.5448,0.3615,-0.8965,0.663,1
246,245,1789282077675912711,1,-1.281,-0.6609,-0.9472,-0.3939,1
246,245,1789282077675912711,2,-1.5366,0.3532,-0.8827,0.6499,1
247,246,1789282077776461760,1,-1.1985,-0.6362,-0.8521,-0.3988,1
247,246,1789282077776461760,2,-1.5943,0.3285,-0.9366,0.6405,1
248,247,1789282077874934853,1,-1.1243,-0.6444,-0.7752,-0.4318,1
248,247,1789282077874934853,2,-1.7757,0.2873,-1.1132,0.6536,1
249,248,1789282077976321478,1,-1.0749,-0.5785,-0.6992,-0.3869,1
249,248,1789282077976321478,2,-2.089,0.3532,-1.3828,0.8086,1
250,249,1789282078076165881,1,-0.9429,-0.6527,-0.5875,-0.4997,1
250,249,1789282078076165881,2,-2.1879,0.345,-1.4701,0.8293,1
251,250,1789282078175951598,1,-0.811,-0.5372,-0.4178,-0.4326,1
251,250,1789282078175951598,2,-2.3528,0.312,-1.6284,0.8452,1
252,251,1789282078274698845,1,-0.7121,-0.529,-0.312,-0.4583,1
252,251,1789282078274698845,2,-2.4105,0.2625,-1.6902,0.8112,1
253,252,1789282078376355365,1,-0.6296,-0.5207,-0.222,-0.4784,1
253,252,1789282078376355365,2,-2.493,0.3285,-1.7404,0.8956,1
254,253,1789282078475513011,1,-0.5884,-0.5537,-0.1838,-0.5252,1
254,253,1789282078475513011,2,-2.6579,0.345,-1.8837,0.9583,1
255,254,1789282078576059413,1,-0.5884,-0.496,-0.1567,-0.4742,1
255,254,1789282078576059413,2,-2.7815,0.213,-2.0342,0.8627,1
256,255,1789282078673861489,1,-0.5967,-0.562,-0.176,-0.5373,1
256,255,1789282078673861489,2,-2.7238,0.1966,-1.9756,0.8271,1
257,256,1789282078775373266,1,-0.5307,-0.4795,-0.079,-0.4816,1
257,256,1789282078775373266,2,-2.7898,0.1471,-2.0448,0.7958,1
258,257,1789282078874737509,1,-0.506,-0.4383,-0.0338,-0.4528,1
258,257,1789282078874737509,2,-2.8887,0.2213,-2.108,0.8925,1
344,343,1789282087465416985,2,-2.8557,-0.7021,-1.5616,-0.2666,1
345,344,1789282087565778783,2,-2.7815,-0.6609,-1.4691,-0.2523,1
346,345,1789282087666361151,2,-2.7321,-0.6609,-1.4124,-0.2701,1
347,346,1789282087764882472,2,-2.6496,-0.7434,-1.3484,-0.3767,1
348,347,1789282087864674432,2,-2.5424,-0.7186,-1.2294,-0.3845,1
349,348,1789282087963998939,2,-2.4188,-0.6856,-1.0921,-0.3918,1
350,349,1789282088063752417,2,-2.3116,-0.6609,-0.973,-0.4026,1
