# schema: laser-person-tracks/1
# table: frames
# bag: /home/nilum/laser-detection-annotator/static_robot/static_robot_0.mcap
# scan_topic: /scan
# annotation_frame: laser
# odom_frame: odom
# base_frame: base_link
# match_criterion: euclidean_xy
# match_threshold_m: 0.5
# generated: 2026-09-13T13:42:25
frame,scan_index,t_ns,robot_x,robot_y,robot_yaw,n_people,n_ignored
1,0,1789275796247336347,0.0,0.0,0.0,0,0
2,5,1789275796724593381,0.0,0.0,0.0,0,0
3,10,1789275797232209224,0.0,0.0,0.0,0,0
4,15,1789275797739899732,0.0,0.0,0.0,0,0
5,20,1789275798240202178,0.0,0.0,0.0,0,0
6,25,1789275798741197721,0.0,0.0,0.0,0,0
7,30,1789275799238079695,0.0,0.0,0.0,0,0
8,35,1789275799738707542,0.0,0.0,0.0,0,0
9,40,1789275800241148261,0.0,0.0,0.0,0,0
10,45,1789275800741702591,0.0,0.0,0.0,0,0
11,50,1789275801238204516,0.0,0.0,0.0,0,0
12,55,1789275801736090711,0.0,0.0,0.0,0,0
13,60,1789275802236390528,0.0,0.0,0.0,0,0
14,65,1789275802736597330,0.0,0.0,0.0,0,0
15,70,1789275803236381512,0.0,0.0,0.0,0,0
16,75,1789275803739004122,0.0,0.0,0.0,0,0
17,80,1789275804236351349,0.0,0.0,0.0,0,0
18,85,1789275804734149027,0.0,0.0,0.0,0,0
19,90,1789275805234341810,0.0,0.0,0.0,0,0
20,95,1789275805731621187,0.0,0.0,0.0,0,0
21,100,1789275806231654159,0.0,0.0,0.0,0,0
22,105,1789275806734716110,0.0,0.0,0.0,1,0
23,110,1789275807234202226,0.0,0.0,0.0,1,0
24,115,1789275807734552209,0.0,0.0,0.0,1,0
25,120,1789275808235373569,0.0,0.0,0.0,1,0
26,125,1789275808729734150,0.0,0.0,0.0,1,0
27,130,1789275809229511795,0.0,0.0,0.0,0,0
28,135,1789275809729611803,0.0,0.0,0.0,0,0
29,140,1789275810229848326,0.0,0.0,0.0,0,0
30,145,1789275810730670612,0.0,0.0,0.0,0,0
31,150,1789275811227193452,0.0,0.0,0.0,0,0
32,155,1789275811727476270,0.0,0.0,0.0,0,0
33,160,1789275812227516372,0.0,0.0,0.0,0,0
34,165,1789275812727843819,0.0,0.0,0.0,0,0
35,170,1789275813227528263,0.0,0.0,0.0,0,0
36,175,1789275813725256832,0.0,0.0,0.0,0,0
37,180,1789275814223480517,0.0,0.0,0.0,0,0
38,185,1789275814725761284,0.0,0.0,0.0,0,0
39,190,1789275815225869866,0.0,0.0,0.0,0,0
40,195,1789275815723408273,0.0,0.0,0.0,0,0
41,200,1789275816223779274,0.0,0.0,0.0,0,0
42,205,1789275816724959588,0.0,0.0,0.0,0,0
43,210,1789275817221824752,0.0,0.0,0.0,0,0
44,215,1789275817721327868,0.0,0.0,0.0,0,0
45,220,1789275818221558021,0.0,0.0,0.0,1,0
46,225,1789275818718811083,0.0,0.0,0.0,1,0
47,230,1789275819219309266,0.0,0.0,0.0,1,0
48,235,1789275819719372682,0.0,0.0,0.0,1,0
49,240,1789275820219173605,0.0,0.0,0.0,1,0
50,245,1789275820716383298,0.0,0.0,0.0,1,0
51,250,1789275821216806427,0.0,0.0,0.0,0,0
52,255,1789275821719422371,0.0,0.0,0.0,0,0
53,260,1789275822219553582,0.0,0.0,0.0,0,0
54,265,1789275822719633738,0.0,0.0,0.0,1,0
55,270,1789275823217066074,0.0,0.0,0.0,1,0
56,275,1789275823714911788,0.0,0.0,0.0,1,0
57,280,1789275824213008791,0.0,0.0,0.0,1,0
58,285,1789275824710380036,0.0,0.0,0.0,1,0
59,290,1789275825211207229,0.0,0.0,0.0,0,0
60,295,1789275825713353999,0.0,0.0,0.0,0,0
61,300,1789275826217777526,0.0,0.0,0.0,0,0
62,305,1789275826715576352,0.0,0.0,0.0,0,0
63,310,1789275827211212122,0.0,0.0,0.0,0,0
64,315,1789275827711401146,0.0,0.0,0.0,0,0
65,320,1789275828211559468,0.0,0.0,0.0,0,0
66,325,1789275828712088372,0.0,0.0,0.0,0,0
67,330,1789275829214267382,0.0,0.0,0.0,0,0
68,335,1789275829711908101,0.0,0.0,0.0,0,0
69,340,1789275830209937144,0.0,0.0,0.0,0,0
70,345,1789275830707236982,0.0,0.0,0.0,0,0
71,350,1789275831207174624,0.0,0.0,0.0,0,0
72,355,1789275831707178468,0.0,0.0,0.0,0,0
73,360,1789275832212228608,0.0,0.0,0.0,0,0
74,365,1789275832714197532,0.0,0.0,0.0,0,0
75,370,1789275833212658415,0.0,0.0,0.0,0,0
76,375,1789275833707645294,0.0,0.0,0.0,0,0
77,380,1789275834202671765,0.0,0.0,0.0,1,0
78,385,1789275834702356228,0.0,0.0,0.0,1,0
79,390,1789275835202613677,0.0,0.0,0.0,2,0
80,395,1789275835705772088,0.0,0.0,0.0,2,0
81,400,1789275836205689526,0.0,0.0,0.0,2,0
82,405,1789275836705836496,0.0,0.0,0.0,1,0
83,410,1789275837202345040,0.0,0.0,0.0,1,0
84,415,1789275837702797372,0.0,0.0,0.0,0,0
85,420,1789275838200395463,0.0,0.0,0.0,0,0
86,425,1789275838697681265,0.0,0.0,0.0,0,0
87,430,1789275839197979342,0.0,0.0,0.0,0,0
88,435,1789275839700711431,0.0,0.0,0.0,0,0
89,440,1789275840200914862,0.0,0.0,0.0,0,0
90,445,1789275840700934020,0.0,0.0,0.0,0,0
91,450,1789275841198743383,0.0,0.0,0.0,0,0
92,455,1789275841696254327,0.0,0.0,0.0,0,0
93,460,1789275842193835585,0.0,0.0,0.0,0,0
