# schema: laser-person-tracks/1
# table: tracks
# bag: /home/nilum/laser-detection-annotator/static_robot/static_robot_0.mcap
# scan_topic: /scan
# annotation_frame: laser
# odom_frame: odom
# base_frame: base_link
# match_criterion: euclidean_xy
# match_threshold_m: 0.5
# generated: 2026-09-13T13:42:25
frame,scan_index,t_ns,track_id,x,y,world_x,world_y,consider
22,105,1789275806734716110,1,-0.7444,-0.3142,-0.6444,-0.3142,1
23,110,1789275807234202226,1,-1.2391,-0.2537,-1.1391,-0.2537,1
24,115,1789275807734552209,1,-1.7503,-0.1988,-1.6503,-0.1988,1
25,120,1789275808235373569,1,-2.3775,-0.2157,-2.2775,-0.2157,1
26,125,1789275808729734150,1,-2.831,-0.1662,-2.731,-0.1662,1
45,220,1789275818221558021,1,-2.5177,-0.1003,-2.4177,-0.1003,1
46,225,1789275818718811083,1,-1.99,-0.0096,-1.89,-0.0096,1
47,230,1789275819219309266,1,-1.5414,-0.0668,-1.4414,-0.0668,1
48,235,1789275819719372682,1,-1.1127,-0.0064,-1.0127,-0.0064,1
49,240,1789275820219173605,1,-0.629,0.1915,-0.529,0.1915,1
50,245,1789275820716383298,1,-0.2772,0.3124,-0.1772,0.3124,1
54,265,1789275822719633738,2,-0.3432,-0.4461,-0.2432,-0.4461,1
55,270,1789275823217066074,2,-0.8928,-0.4296,-0.7928,-0.4296,1
56,275,1789275823714911788,2,-1.426,-0.4681,-1.326,-0.4681,1
57,280,1789275824213008791,2,-1.9653,-0.4383,-1.8653,-0.4383,1
58,285,1789275824710380036,2,-2.4847,-0.4053,-2.3847,-0.4053,1
77,380,1789275834202671765,2,-2.6496,-0.0343,-2.5496,-0.0343,1
78,385,1789275834702356228,2,-2.1137,-0.0343,-2.0137,-0.0343,1
79,390,1789275835202613677,2,-1.4953,-0.0755,-1.3953,-0.0755,1
79,390,1789275835202613677,3,-0.9594,0.5181,-0.8594,0.5181,1
80,395,1789275835705772088,2,-1.0501,-0.0425,-0.9501,-0.0425,1
80,395,1789275835705772088,3,-1.2975,0.3944,-1.1975,0.3944,1
81,400,1789275836205689526,2,-0.5224,0.0976,-0.4224,0.0976,1
81,400,1789275836205689526,3,-1.8416,0.2955,-1.7416,0.2955,1
82,405,1789275836705836496,3,-2.2209,0.1141,-2.1209,0.1141,1
83,410,1789275837202345040,3,-2.6744,-0.158,-2.5744,-0.158,1
96,475,1789275843696843465,3,-2.798,0.0976,-2.698,0.0976,1
97,480,1789275844194895211,3,-2.2868,-0.0425,-2.1868,-0.0425,1
98,485,1789275844691726117,3,-1.8746,-0.125,-1.7746,-0.125,1
99,490,1789275845192010528,3,-1.4129,-0.1992,-1.3129,-0.1992,1
100,495,1789275845694353515,3,-1.0336,-0.2569,-0.9336,-0.2569,1
101,500,1789275846197161639,3,-0.5967,-0.3146,-0.4967,-0.3146,1
102,505,1789275846696949118,3,-0.3988,-0.3558,-0.2988,-0.3558,1
114,565,1789275852683851634,1,-0.2586,0.2295,-0.1586,0.2295,1
115,570,1789275853181971341,1,-0.9924,0.1224,-0.8924,0.1224,1
116,575,1789275853686205503,1,-1.6767,0.0152,-1.5767,0.0152,1
117,580,1789275854186657668,1,-2.2209,-0.0425,-2.1209,-0.0425,1
118,585,1789275854686559385,1,-2.831,-0.1167,-2.731,-0.1167,1
121,600,1789275856181883758,2,-0.9842,-0.5043,-0.8842,-0.5043,1
122,605,1789275856681863565,2,-1.3552,-0.4301,-1.2552,-0.4301,1
123,610,1789275857180540961,2,-2.1632,-0.4713,-2.0632,-0.4713,1
124,615,1789275857683341474,2,-2.7156,-0.4713,-2.6156,-0.4713,1
135,670,1789275863173819296,1,-2.6908,-0.0178,-2.5908,-0.0178,1
136,675,1789275863671348777,1,-2.0477,-0.0261,-1.9477,-0.0261,1
137,680,1789275864173710616,1,-1.5613,0.0646,-1.4613,0.0646,1
138,685,1789275864674625733,1,-1.0254,0.2048,-0.9254,0.2048,1
139,690,1789275865176601786,1,-0.5472,0.3037,-0.4472,0.3037,1
144,715,1789275867666574339,2,-2.6744,-0.3476,-2.5744,-0.3476,1
145,720,1789275868169247097,2,-2.1137,-0.2487,-2.0137,-0.2487,1
146,725,1789275868669300700,2,-1.5448,-0.2652,-1.4448,-0.2652,1
147,730,1789275869166700907,2,-1.0171,-0.2652,-0.9171,-0.2652,1
148,735,1789275869664709802,2,-0.4812,-0.3064,-0.3812,-0.3064,1
148,735,1789275869664709802,3,-0.5389,0.6748,-0.4389,0.6748,1
149,740,1789275870164218826,3,-1.0006,0.5758,-0.9006,0.5758,1
150,745,1789275870667483606,3,-1.2233,0.4027,-1.1233,0.4027,1
151,750,1789275871167185885,3,-1.8169,0.2708,-1.7169,0.2708,1
152,755,1789275871670630975,3,-2.0725,-0.0508,-1.9725,-0.0508,1
153,760,1789275872168018923,3,-2.6579,-0.2734,-2.5579,-0.2734,1
158,785,1789275874660270528,1,-0.5307,-0.3064,-0.4307,-0.3064,1
159,790,1789275875160968466,1,-1.0089,-0.2899,-0.9089,-0.2899,1
160,795,1789275875658133327,1,-1.5695,-0.3064,-1.4695,-0.3064,1
161,800,1789275876158738712,1,-2.1137,-0.3146,-2.0137,-0.3146,1
161,800,1789275876158738712,3,-2.6991,0.3697,-2.5991,0.3697,1
162,805,1789275876661087942,3,-2.4847,0.4934,-2.3847,0.4934,1
162,805,1789275876661087942,1,-2.6826,-0.3806,-2.5826,-0.3806,1
163,810,1789275877158644830,3,-2.0807,0.5676,-1.9807,0.5676,1
164,815,1789275877656103869,3,-1.7427,0.4851,-1.6427,0.4851,1
165,820,1789275878153662312,3,-1.4211,0.3037,-1.3211,0.3037,1
166,825,1789275878656121428,3,-1.0996,0.2378,-0.9996,0.2378,1
167,830,1789275879156368989,3,-0.7533,0.0234,-0.6533,0.0234,1
168,835,1789275879653912933,2,-0.506,-0.3888,-0.406,-0.3888,1
170,845,1789275880646886578,2,-1.314,-0.6032,-1.214,-0.6032,1
171,850,1789275881151793613,2,-2.0148,-0.7021,-1.9148,-0.7021,1
172,855,1789275881656918921,2,-2.4353,-0.6856,-2.3353,-0.6856,1
180,895,1789275885650696354,3,-0.8605,0.6335,-0.7605,0.6335,1
181,900,1789275886151788005,1,-2.493,-0.2074,-2.393,-0.2074,1
181,900,1789275886151788005,3,-1.2233,0.5841,-1.1233,0.5841,1
182,905,1789275886652986634,1,-1.9818,-0.2157,-1.8818,-0.2157,1
182,905,1789275886652986634,3,-1.5695,0.5016,-1.4695,0.5016,1
183,910,1789275887150677685,1,-1.5118,-0.2404,-1.4118,-0.2404,1
183,910,1789275887150677685,3,-1.9818,0.4769,-1.8818,0.4769,1
184,915,1789275887651050317,1,-1.0831,-0.191,-0.9831,-0.191,1
184,915,1789275887651050317,3,-2.427,0.3532,-2.327,0.3532,1
185,920,1789275888149679770,3,-2.8063,0.2295,-2.7063,0.2295,1
185,920,1789275888149679770,1,-0.6461,-0.3064,-0.5461,-0.3064,1
190,945,1789275890646572924,3,-2.7156,-0.6114,-2.6156,-0.6114,1
191,950,1789275891144514006,3,-2.3858,-0.6362,-2.2858,-0.6362,1
192,955,1789275891642317925,3,-2.0807,-0.5125,-1.9807,-0.5125,1
193,960,1789275892142882793,3,-1.7427,-0.4218,-1.6427,-0.4218,1
194,965,1789275892644811681,3,-1.4294,-0.3806,-1.3294,-0.3806,1
194,965,1789275892644811681,2,-2.7156,0.3862,-2.6156,0.3862,1
195,970,1789275893145226756,3,-1.1491,-0.4218,-1.0491,-0.4218,1
195,970,1789275893145226756,2,-2.2374,0.3862,-2.1374,0.3862,1
196,975,1789275893644798667,3,-0.6791,-0.3476,-0.5791,-0.3476,1
196,975,1789275893644798667,1,-0.4647,0.213,-0.3647,0.213,1
196,975,1789275893644798667,2,-1.8004,0.4274,-1.7004,0.4274,1
197,980,1789275894146419637,3,-0.4895,-0.4713,-0.3895,-0.4713,1
197,980,1789275894146419637,1,-1.1161,0.0069,-1.0161,0.0069,1
197,980,1789275894146419637,2,-1.4129,0.5181,-1.3129,0.5181,1
198,985,1789275894642823907,2,-0.9347,0.5841,-0.8347,0.5841,1
198,985,1789275894642823907,1,-1.5695,-0.0178,-1.4695,-0.0178,1
199,990,1789275895142507667,1,-2.122,-0.1415,-2.022,-0.1415,1
199,990,1789275895142507667,2,-0.4812,0.6088,-0.3812,0.6088,1
200,995,1789275895640837850,1,-2.6661,-0.1827,-2.5661,-0.1827,1
209,1040,1789275900141594692,3,-0.6049,0.5676,-0.5049,0.5676,1
210,1045,1789275900636906563,3,-0.9759,0.5676,-0.8759,0.5676,1
211,1050,1789275901136066985,3,-1.3387,0.5428,-1.2387,0.5428,1
